title,release_year,results
Charlie St. Cloud,2010,"[{'_id': '61e5a4c0b597b91eb949e8e7', 'id': 'tt1438254', 'primaryImage': {'id': 'rm1993966080', 'width': 948, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMTI4MjkyNDM2NV5BMl5BanBnXkFtZTcwOTExNDc0Mw@@._V1_.jpg', 'caption': {'plainText': 'Zac Efron in Charlie St. Cloud (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Charlie St. Cloud', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Charlie St. Cloud', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 21, 'month': 10, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Dinner for Schmucks,2010,"[{'_id': '61e584e495801a78bc422b15', 'id': 'tt0427152', 'primaryImage': {'id': 'rm324240128', 'width': 1383, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BOTk5MTYzNTIyMl5BMl5BanBnXkFtZTcwOTM3MTQ2Mw@@._V1_.jpg', 'caption': {'plainText': 'Dinner for Schmucks (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Dinner for Schmucks', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Dinner for Schmucks', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 26, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Dry Land,2010,"[{'_id': '61e59e15ef99b1c543483f17', 'id': 'tt1322264', 'primaryImage': {'id': 'rm596935424', 'width': 675, 'height': 1025, 'url': 'https://m.media-amazon.com/images/M/MV5BMTUwMDIwODMxMF5BMl5BanBnXkFtZTcwODEwNzE2Mw@@._V1_.jpg', 'caption': {'plainText': 'The Dry Land (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Dry Land', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Dry Land', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 24, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Extra Man,2010,"[{'_id': '61e5a053d8f3c0931e48d1ef', 'id': 'tt1361313', 'primaryImage': {'id': 'rm1831567872', 'width': 1381, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BNzkzMTgxODIxMF5BMl5BanBnXkFtZTcwNDU4MTQ1Mw@@._V1_.jpg', 'caption': {'plainText': 'The Extra Man (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Extra Man', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Extra Man', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 27, 'month': 1, 'year': 2011, '__typename': 'ReleaseDate'}}]"
Get Low,2010,[]
"Hugh Hefner: Playboy, Activist and Rebel",2010,[]
Smash His Camera,2010,"[{'_id': '61e59ba4cffb8f2faa47a279', 'id': 'tt1280015', 'primaryImage': {'id': 'rm2536932096', 'width': 972, 'height': 1440, 'url': 'https://m.media-amazon.com/images/M/MV5BMjAxNTM1OTE0Nl5BMl5BanBnXkFtZTcwOTQyNTU2Mw@@._V1_.jpg', 'caption': {'plainText': 'Smash His Camera (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Smash His Camera', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Smash His Camera', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': None, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
What's the Matter with Kansas?,2010,[]
Flipped,2010,"[{'_id': '61e5893aef99b1c543432393', 'id': 'tt0817177', 'primaryImage': {'id': 'rm3902833408', 'width': 1200, 'height': 1783, 'url': 'https://m.media-amazon.com/images/M/MV5BMTU2NjQ1Nzc4MF5BMl5BanBnXkFtZTcwNTM0NDk1Mw@@._V1_.jpg', 'caption': {'plainText': 'Flipped (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Flipped', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Flipped', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 10, 'month': 9, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Other Guys,2010,"[{'_id': '61e5a1bbd8f3c0931e492d99', 'id': 'tt1386588', 'primaryImage': {'id': 'rm2586368513', 'width': 1012, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMDlhZDQ5NDUtNDcwMi00MTQ5LTk1Y2UtYjNmMjgzNzNhNzU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'caption': {'plainText': 'Mark Wahlberg and Will Ferrell in The Other Guys (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Other Guys', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Other Guys', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 11, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Step Up 3D,2010,"[{'_id': '61e596a2a66e596423466399', 'id': 'tt1193631', 'primaryImage': {'id': 'rm1933478912', 'width': 1385, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTcxNDU2NTE4Nl5BMl5BanBnXkFtZTcwNzQ1MTEzMw@@._V1_.jpg', 'caption': {'plainText': 'Step Up 3D (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Step Up 3D', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Step Up 3D', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 5, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Brotherhood,2010,"[{'_id': '61e59b42a66e596423478a4f', 'id': 'tt1273241', 'primaryImage': {'id': 'rm1797031168', 'width': 450, 'height': 665, 'url': 'https://m.media-amazon.com/images/M/MV5BNjk3NjUwMDc2M15BMl5BanBnXkFtZTcwNTEzMDE0NA@@._V1_.jpg', 'caption': {'plainText': 'Brotherhood (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Brotherhood', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Brotherhood', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 18, 'month': 11, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Cairo Time,2010,[]
The Disappearance of Alice Creed,2010,[]
Lebanon,2010,[]
Middle Men,2010,"[{'_id': '61e5ad368a5a6a599f4c06e7', 'id': 'tt1664697', 'primaryImage': None, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Middle Men', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Middle Men', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': None}]"
"Patrik, Age 1.5",2010,[]
Spring Fever,2010,[]
Twelve,2010,"[{'_id': '61e5a2f295801a78bc497c1f', 'id': 'tt1407084', 'primaryImage': {'id': 'rm3384574720', 'width': 2016, 'height': 2952, 'url': 'https://m.media-amazon.com/images/M/MV5BMTM0NTgwMjc4MV5BMl5BanBnXkFtZTcwMzA3ODk1Mw@@._V1_.jpg', 'caption': {'plainText': '50 Cent and Chace Crawford in Twelve (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Twelve', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Twelve', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 20, 'month': 1, 'year': 2011, '__typename': 'ReleaseDate'}}]"
The Wildest Dream,2010,"[{'_id': '61e5a8e1ef99b1c5434af2e9', 'id': 'tt1509276', 'primaryImage': {'id': 'rm3812330496', 'width': 2340, 'height': 3427, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ1MzY0OTAxNV5BMl5BanBnXkFtZTcwNTk2MDEzMw@@._V1_.jpg', 'caption': {'plainText': 'The Wildest Dream (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Wildest Dream', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Wildest Dream', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 6, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Strawberry Shortcake: The Glimmerberry Ball Movie,2010,"[{'_id': '61e5ae5ea66e5964234c48a7', 'id': 'tt1776307', 'primaryImage': {'id': 'rm1767836160', 'width': 342, 'height': 478, 'url': 'https://m.media-amazon.com/images/M/MV5BODExM2M5NTMtZTg2Ny00ZTQwLWIzMmEtOTE4Y2JmNDg3YWEzXkEyXkFqcGdeQXVyMjMzMzc0MjM@._V1_.jpg', 'caption': {'plainText': 'Strawberry Shortcake: The Glimmerberry Ball Movie (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Strawberry Shortcake: The Glimmerberry Ball Movie', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Strawberry Shortcake: The Glimmerberry Ball Movie', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': None, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Eat Pray Love,2010,"[{'_id': '61e589e8909c2ca781434969', 'id': 'tt0879870', 'primaryImage': {'id': 'rm2612429312', 'width': 510, 'height': 755, 'url': 'https://m.media-amazon.com/images/M/MV5BMTY5NDkyNzkyM15BMl5BanBnXkFtZTcwNDQyNDk0Mw@@._V1_.jpg', 'caption': {'plainText': 'Julia Roberts in Eat Pray Love (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Eat Pray Love', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Eat Pray Love', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 7, 'month': 10, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Expendables,2010,"[{'_id': '61e59df9b597b91eb94834bb', 'id': 'tt1320253', 'primaryImage': {'id': 'rm3711009280', 'width': 1381, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_.jpg', 'caption': {'plainText': 'Dolph Lundgren, Sylvester Stallone, Bruce Willis, Mickey Rourke, Jet Li, Jason Statham, Steve Austin, Terry Crews, and Randy Couture in The Expendables (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Expendables', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Expendables', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 19, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Scott Pilgrim vs. the World,2010,"[{'_id': '61e5851fb597b91eb9423881', 'id': 'tt0446029', 'primaryImage': {'id': 'rm372340992', 'width': 972, 'height': 1440, 'url': 'https://m.media-amazon.com/images/M/MV5BYWQ2OGIyZTgtZmY5MC00NzY3LTg5NDYtMjdkZjgxZmFhZTMzXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_.jpg', 'caption': {'plainText': 'Jason Schwartzman, Michael Cera, Chris Evans, Brandon Routh, Mae Whitman, Mary Elizabeth Winstead, Satya Bhabha, Shôta Saitô, and Keita Saitou in Scott Pilgrim vs. the World (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Scott Pilgrim vs. the World', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Scott Pilgrim vs. the World', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 25, 'month': 11, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Animal Kingdom,2010,"[{'_id': '61e59d8c909c2ca781481bbb', 'id': 'tt1313092', 'primaryImage': {'id': 'rm2865070848', 'width': 833, 'height': 1234, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ2NjcwNjE4NV5BMl5BanBnXkFtZTcwNDU2NDg1Mw@@._V1_.jpg', 'caption': {'plainText': 'Joel Edgerton, Ben Mendelsohn, Jacki Weaver, and James Frecheville in Animal Kingdom (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Animal Kingdom', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Animal Kingdom', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 3, 'month': 3, 'year': 2011, '__typename': 'ReleaseDate'}}]"
Double Negative,2010,[]
Neshoba,2010,[]
The People I've Slept With,2010,[]
Salt of this Sea,2010,[]
La Soga,2010,[]
Tales from Earthsea,2010,[]
Vampires Suck,2010,"[{'_id': '61e5ad38971a4a15d64c0607', 'id': 'tt1666186', 'primaryImage': {'id': 'rm3787030528', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTk2MDk0NDU4MF5BMl5BanBnXkFtZTcwNzAyODk2Mw@@._V1_.jpg', 'caption': {'plainText': 'Vampires Suck (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Vampires Suck', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Vampires Suck', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 26, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Lottery Ticket,2010,"[{'_id': '61e58af695801a78bc438a43', 'id': 'tt0979434', 'primaryImage': {'id': 'rm3244002560', 'width': 1166, 'height': 1728, 'url': 'https://m.media-amazon.com/images/M/MV5BMTM0ODA2NjcxM15BMl5BanBnXkFtZTcwNTA3NTI0Mw@@._V1_.jpg', 'caption': {'plainText': 'Ice Cube, Loretta Devine, Mike Epps, Shad Moss, Brandon T. Jackson, Naturi Naughton, and Teairra Mari in Lottery Ticket (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Lottery Ticket', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Lottery Ticket', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 20, 'month': 8, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Nanny McPhee and the Big Bang,2010,"[{'_id': '61e5a36acffb8f2faa499783', 'id': 'tt1415283', 'primaryImage': {'id': 'rm3596452352', 'width': 1013, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMTI5NDUxNDU4OF5BMl5BanBnXkFtZTcwNDk1NjM1Mw@@._V1_.jpg', 'caption': {'plainText': 'Nanny McPhee and the Big Bang (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Nanny McPhee and the Big Bang', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Nanny McPhee and the Big Bang', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 25, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Piranha 3D,2010,"[{'_id': '61e58550cffb8f2faa4242c3', 'id': 'tt0464154', 'primaryImage': {'id': 'rm2792325120', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTU3NDg2NTY4Nl5BMl5BanBnXkFtZTcwMTM0OTE3Mw@@._V1_.jpg', 'caption': {'plainText': 'Elisabeth Shue in Piranha 3D (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Piranha 3D', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Piranha 3D', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 2, 'month': 9, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Switch,2010,"[{'_id': '61e58a04d735dff3f94351ad', 'id': 'tt0889573', 'primaryImage': {'id': 'rm2762443776', 'width': 406, 'height': 600, 'url': 'https://m.media-amazon.com/images/M/MV5BODQ5ODc0MjU1N15BMl5BanBnXkFtZTcwMTc3NzcyMw@@._V1_.jpg', 'caption': {'plainText': 'Jennifer Aniston and Jason Bateman in The Switch (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Switch', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Switch', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 21, 'month': 10, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Army of Crime,2010,[]
Mao's Last Dancer,2010,[]
Soul Kitchen,2010,[]
The Tillman Story,2010,"[{'_id': '61e5ac0f95801a78bc4bc29f', 'id': 'tt1568334', 'primaryImage': {'id': 'rm65372928', 'width': 1387, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTg2NjA5OTA2OV5BMl5BanBnXkFtZTcwOTg4MDc1Mw@@._V1_.jpg', 'caption': {'plainText': 'The Tillman Story (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Tillman Story', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Tillman Story', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 23, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
What If...,2010,"[{'_id': '61e5a686cffb8f2faa4a5d3d', 'id': 'tt1468387', 'primaryImage': {'id': 'rm3411706112', 'width': 387, 'height': 572, 'url': 'https://m.media-amazon.com/images/M/MV5BMTY4OTcwNzI1MF5BMl5BanBnXkFtZTcwMzkzNTg4Mw@@._V1_.jpg', 'caption': {'plainText': 'What If... (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'What If...', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'What If...', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 23, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Last Exorcism,2010,"[{'_id': '61e59df995801a78bc483a8f', 'id': 'tt1320244', 'primaryImage': {'id': 'rm1260486656', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BNDc4Mjk2MjA0NF5BMl5BanBnXkFtZTcwMzMyNjQ3Mw@@._V1_.jpg', 'caption': {'plainText': 'The Last Exorcism (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Last Exorcism', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Last Exorcism', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 4, 'month': 11, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Takers,2010,"[{'_id': '61e5933578c012aa34458985', 'id': 'tt1135084', 'primaryImage': {'id': 'rm3133703680', 'width': 1379, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTg4ODg5NzkzNl5BMl5BanBnXkFtZTcwNzAyODM5Mw@@._V1_.jpg', 'caption': {'plainText': 'Matt Dillon, Hayden Christensen, Idris Elba, Jay Hernandez, Paul Walker, Michael Ealy, T.I., and Chris Brown in Takers (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Takers', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Takers', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 25, 'month': 11, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Avatar: Special Edition,2010,[]
Centurion,2010,"[{'_id': '61e58c62b597b91eb943e299', 'id': 'tt1020558', 'primaryImage': {'id': 'rm2315092736', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ4NTI1MTEzM15BMl5BanBnXkFtZTcwNDc3NDc1Mw@@._V1_.jpg', 'caption': {'plainText': 'Michael Fassbender in Centurion (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Centurion', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Centurion', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 27, 'month': 5, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Make-out with Violence,2010,[]
Mesrine,2010,[]
The Milk of Sorrow,2010,[]
The American,2010,"[{'_id': '61e5a4e6e1a8ddbd9649f7fd', 'id': 'tt1440728', 'primaryImage': {'id': 'rm600670976', 'width': 1328, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjAxMDg1NDcxM15BMl5BanBnXkFtZTcwODc3MDg1Mw@@._V1_.jpg', 'caption': {'plainText': 'George Clooney and Violante Placido in The American (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The American', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The American', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 16, 'month': 9, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Going the Distance,2010,"[{'_id': '61e59e15ef99b1c543483f49', 'id': 'tt1322312', 'primaryImage': {'id': 'rm828998400', 'width': 1013, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMjQ1ODUyMjk5N15BMl5BanBnXkFtZTcwMjAxOTE2Mw@@._V1_.jpg', 'caption': {'plainText': 'Drew Barrymore and Justin Long in Going the Distance (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Going the Distance', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Going the Distance', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 9, 'month': 9, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Machete,2010,"[{'_id': '61e58b078a5a6a599f438e75', 'id': 'tt0985694', 'primaryImage': {'id': 'rm791155712', 'width': 600, 'height': 886, 'url': 'https://m.media-amazon.com/images/M/MV5BZWUxODc2NmItNThkNS00Mzc4LThlYTQtOTYwZjVhYjRiNmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', 'caption': {'plainText': 'Robert De Niro, Steven Seagal, Danny Trejo, Jessica Alba, and Michelle Rodriguez in Machete (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Machete', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Machete', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 9, 'month': 9, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Barbie: A Fashion Fairytale,2010,[]
